zmienna;wyrob;okres;wartosc
popyt;5;8;14
zapas_koniec;5;8;0
czy_zamawiac;5;8;0
zamowienie;5;9;50
zapas_poczatek;5;9;50
popyt;5;9;4
zapas_koniec;5;9;46
czy_zamawiac;5;9;1
zamowienie;5;10;0
zapas_poczatek;5;10;46
popyt;5;10;17
zapas_koniec;5;10;29
czy_zamawiac;5;10;0
zamowienie;5;11;0
zapas_poczatek;5;11;29
popyt;5;11;19
zapas_koniec;5;11;10
czy_zamawiac;5;11;0
zamowienie;5;12;0
zapas_poczatek;5;12;10
popyt;5;12;10
zapas_koniec;5;12;0
czy_zamawiac;5;12;0
zamowienie;5;13;27
zapas_poczatek;5;13;27
popyt;5;13;11
zapas_koniec;5;13;16
czy_zamawiac;5;13;1
zamowienie;5;14;0
zapas_poczatek;5;14;16
popyt;5;14;10
zapas_koniec;5;14;6
czy_zamawiac;5;14;0
zamowienie;5;15;0
zapas_poczatek;5;15;6
popyt;5;15;3
zapas_koniec;5;15;3
czy_zamawiac;5;15;0
zamowienie;5;16;0
zapas_poczatek;5;16;3
popyt;5;16;1
zapas_koniec;5;16;2
czy_zamawiac;5;16;0
zamowienie;5;17;0
zapas_poczatek;5;17;2
popyt;5;17;2
zapas_koniec;5;17;0
czy_zamawiac;5;17;0
zamowienie;6;1;369
zapas_poczatek;6;1;369
popyt;6;1;177
zapas_koniec;6;1;192
czy_zamawiac;6;1;1
zamowienie;6;2;0
zapas_poczatek;6;2;192
popyt;6;2;192
zapas_koniec;6;2;0
czy_zamawiac;6;2;0
zamowienie;6;3;298
zapas_poczatek;6;3;298
popyt;6;3;150
zapas_koniec;6;3;148
czy_zamawiac;6;3;1
zamowienie;6;4;0
zapas_poczatek;6;4;148
popyt;6;4;148
zapas_koniec;6;4;0
czy_zamawiac;6;4;0
zamowienie;6;5;373
zapas_poczatek;6;5;373
popyt;6;5;179
zapas_koniec;6;5;194
czy_zamawiac;6;5;1
zamowienie;6;6;0
zapas_poczatek;6;6;194
popyt;6;6;194
zapas_koniec;6;6;0
czy_zamawiac;6;6;0
zamowienie;6;7;223
zapas_poczatek;6;7;223
popyt;6;7;191
zapas_koniec;6;7;32
czy_zamawiac;6;7;1
zamowienie;6;8;0
zapas_poczatek;6;8;32
popyt;6;8;32
zapas_koniec;6;8;0
czy_zamawiac;6;8;0
zamowienie;6;9;304
zapas_poczatek;6;9;304
popyt;6;9;178
zapas_koniec;6;9;126
czy_zamawiac;6;9;1
zamowienie;6;10;0
zapas_poczatek;6;10;126
popyt;6;10;126
zapas_koniec;6;10;0
czy_zamawiac;6;10;0
zamowienie;6;11;215
zapas_poczatek;6;11;215
popyt;6;11;129
zapas_koniec;6;11;86
czy_zamawiac;6;11;1
zamowienie;6;12;0
zapas_poczatek;6;12;86
popyt;6;12;86
zapas_koniec;6;12;0
czy_zamawiac;6;12;0
zamowienie;6;13;81
zapas_poczatek;6;13;81
popyt;6;13;18
zapas_koniec;6;13;63
czy_zamawiac;6;13;1
zamowienie;6;14;0
zapas_poczatek;6;14;63
popyt;6;14;63
zapas_koniec;6;14;0
czy_zamawiac;6;14;0
zamowienie;6;15;285
zapas_poczatek;6;15;285
